일시,평균습도(%rh),최저습도(%rh)
2017-02-17,60.1,38
2017-02-18,51.8,28
2017-02-19,72.4,41
2017-02-20,56.8,39
2017-02-21,45.9,31
2017-02-22,80.9,38
2017-02-23,58.1,37
2017-02-24,55.5,23
2017-02-25,72.6,52
2017-02-26,60.8,25
2017-02-27,42,28
2017-02-28,47.8,27
2017-03-01,64.9,24
2017-03-02,62.8,43
2017-03-03,67.1,48
2017-03-04,69.4,41
2017-03-05,83.9,61
2017-03-06,48.5,27
2017-03-07,47.4,31
2017-03-08,57.9,44
2017-03-09,61.1,45
2017-03-10,48.8,22
2017-03-11,53.6,33
2017-03-12,73.5,50
2017-03-13,57.3,32
2017-03-14,42.9,22
2017-03-15,45.1,26
2017-03-16,59.1,27
2017-03-17,57.8,26
2017-03-18,61.4,22
2017-03-19,57.8,29
2017-03-20,57.4,38
2017-03-21,53.6,23
2017-03-22,49.5,27
2017-03-23,50.5,29
2017-03-24,46.3,35
2017-03-25,64.8,31
2017-03-26,79.1,48
2017-03-27,76.4,43
2017-03-28,75.1,46
2017-03-29,69.8,35
2017-03-30,65.5,40
2017-03-31,75.5,57
2017-04-01,69.3,44
2017-04-02,61.1,39
2017-04-03,67.6,46
2017-04-04,51.9,35
2017-04-05,69.1,32
2017-04-06,97.1,92
2017-04-07,80.9,62
2017-04-08,91.3,73
2017-04-09,62.8,40
2017-04-10,29.9,12
2017-04-11,51.4,25
2017-04-12,32.6,13
2017-04-13,67.8,15
2017-04-14,67.9,37
2017-04-15,75.1,53
2017-04-16,79.8,41
2017-04-17,76.3,53
2017-04-18,81.5,60
2017-04-19,51.1,33
2017-04-20,54.1,32
2017-04-21,75.4,54
2017-04-22,60.6,24
2017-04-23,51.3,27
2017-04-24,51.1,30
2017-04-25,72.1,53
2017-04-26,43,16
2017-04-27,56.4,22
2017-04-28,72.5,47
2017-04-29,56.9,26
2017-04-30,72.5,51
2017-05-01,74.1,44
2017-05-02,54.8,28
2017-05-03,53.9,20
2017-05-04,54.6,30
2017-05-05,63.3,40
2017-05-06,47.6,24
2017-05-07,62.6,19
2017-05-08,59.4,44
2017-05-09,72.3,44
2017-05-10,83.6,60
2017-05-11,73.3,60
2017-05-12,81.8,72
2017-05-13,83.4,57
2017-05-14,62.1,42
2017-05-15,74.8,51
2017-05-16,75.4,52
2017-05-17,70.5,43
2017-05-18,58.4,43
2017-05-19,57.1,35
2017-05-20,59.3,37
2017-05-21,60.8,44
2017-05-22,67.1,35
2017-05-23,77.1,56
2017-05-24,73.9,52
2017-05-25,55.9,22
2017-05-26,51.9,32
2017-05-27,57.4,33
2017-05-28,58,27
2017-05-29,75.9,56
2017-05-30,62.3,32
2017-05-31,77.8,52
2017-06-01,65.3,28
2017-06-02,48.1,27
2017-06-03,56.1,39
2017-06-04,51.1,32
2017-06-05,44.4,28
2017-06-06,64.4,42
2017-06-07,90.8,76
2017-06-08,80.3,69
2017-06-09,85.3,66
2017-06-10,53,23
2017-06-11,44.5,20
2017-06-12,55.3,36
2017-06-13,79,54
2017-06-14,80.4,62
2017-06-15,81.5,64
2017-06-16,72.4,50
2017-06-17,66.4,46
2017-06-18,72.5,39
2017-06-19,71.1,40
2017-06-20,56.5,36
2017-06-21,70.3,43
2017-06-22,74.1,45
2017-06-23,71.6,46
2017-06-24,70,44
2017-06-25,64.1,42
2017-06-26,76.6,51
2017-06-27,76.4,60
2017-06-28,76,55
2017-06-29,78.5,48
2017-06-30,80.6,53
2017-07-01,84.3,56
2017-07-02,96,93
2017-07-03,95.8,86
2017-07-04,87.9,67
2017-07-05,75.5,58
2017-07-06,79.6,58
2017-07-07,87.4,77
2017-07-08,91.4,86
2017-07-09,89,75
2017-07-10,97,94
2017-07-11,90.4,69
2017-07-12,88.3,67
2017-07-13,81.6,63
2017-07-14,78.9,61
2017-07-15,95.9,85
2017-07-16,91.3,76
2017-07-17,87,77
2017-07-18,88.6,70
2017-07-19,78.9,61
2017-07-20,79.5,59
2017-07-21,86.1,70
2017-07-22,88.8,75
2017-07-23,95.2,90
2017-07-24,93.3,87
2017-07-25,75.4,49
2017-07-26,68.5,51
2017-07-27,72.5,57
2017-07-28,95.4,87
2017-07-29,78.3,61
2017-07-30,75.8,40
2017-07-31,91.3,78
2017-08-01,80.5,62
2017-08-02,77.9,56
2017-08-03,63.8,41
2017-08-04,65.9,51
2017-08-05,71.1,51
2017-08-06,75.4,58
2017-08-07,79.9,57
2017-08-08,78.8,64
2017-08-09,72,47
2017-08-10,87.8,74
2017-08-11,77.6,61
2017-08-12,67.5,52
2017-08-13,68.3,61
2017-08-14,73.5,63
2017-08-15,95.3,74
2017-08-16,88.8,75
2017-08-17,85.6,61
2017-08-18,81.9,59
2017-08-19,79.6,65
2017-08-20,94.1,87
2017-08-21,87.8,78
2017-08-22,78.4,60
2017-08-23,93.4,80
2017-08-24,91.3,78
2017-08-25,70.3,35
2017-08-26,54,28
2017-08-27,63.9,47
2017-08-28,79.9,39
2017-08-29,52.1,29
2017-08-30,60.3,40
2017-08-31,70.8,49
2017-09-01,63.6,37
2017-09-02,68,50
2017-09-03,68.8,53
2017-09-04,56.9,34
2017-09-05,65.8,50
2017-09-06,82.5,60
2017-09-07,80.4,66
2017-09-08,76.3,42
2017-09-09,81.4,56
2017-09-10,80.6,68
2017-09-11,80.6,60
2017-09-12,60.4,31
2017-09-13,53.1,35
2017-09-14,50.5,35
2017-09-15,48.6,37
2017-09-16,50.8,42
2017-09-17,57.6,40
2017-09-18,68.6,46
2017-09-19,87.6,75
2017-09-20,51.3,38
2017-09-21,65.4,46
2017-09-22,67.5,45
2017-09-23,83.5,67
2017-09-24,80.6,63
2017-09-25,66.8,46
2017-09-26,66.1,45
2017-09-27,72.5,59
2017-09-28,53.3,30
2017-09-29,46,31
2017-09-30,73.4,63
2017-10-01,78.6,47
2017-10-02,65.3,43
2017-10-03,49.4,39
2017-10-04,49.3,41
2017-10-05,60.5,48
2017-10-06,64.4,47
2017-10-07,77.6,56
2017-10-08,76.9,56
2017-10-09,81.4,54
2017-10-10,86.3,70
2017-10-11,80.1,58
2017-10-12,64.4,55
2017-10-13,57.5,32
2017-10-14,49.6,26
2017-10-15,46.3,34
2017-10-16,53,32
2017-10-17,52.8,36
2017-10-18,61.5,50
2017-10-19,63.3,40
2017-10-20,67.3,31
2017-10-21,64.6,37
2017-10-22,57,38
2017-10-23,57.9,38
2017-10-24,62,38
2017-10-25,70.3,38
2017-10-26,67.9,45
2017-10-27,65.5,36
2017-10-28,64,43
2017-10-29,51,29
2017-10-30,36.4,24
2017-10-31,60.6,39
2017-11-01,81.1,62
2017-11-02,86.8,77
2017-11-03,70,42
2017-11-04,53.1,35
2017-11-05,56.3,46
2017-11-06,69,50
2017-11-07,69,48
2017-11-08,64.3,38
2017-11-09,50.4,34
2017-11-10,64.4,45
2017-11-11,49.9,38
2017-11-12,61.3,43
2017-11-13,68.6,53
2017-11-14,45.8,30
2017-11-15,49.9,33
2017-11-16,37,25
2017-11-17,45.4,31
2017-11-18,44.6,26
2017-11-19,42.5,28
2017-11-20,61.8,31
2017-11-21,63.9,46
2017-11-22,63.3,43
2017-11-23,54.8,41
2017-11-24,66.1,35
2017-11-25,77.1,61
2017-11-26,71.5,42
2017-11-27,58.4,37
2017-11-28,69.8,56
2017-11-29,52.3,27
2017-11-30,35.8,20
2017-12-01,59.1,24
2017-12-02,68.8,49
2017-12-03,83,66
2017-12-04,54.9,34
2017-12-05,48.8,30
2017-12-06,75.5,41
2017-12-07,68.8,35
2017-12-08,48.1,36
2017-12-09,50.9,37
2017-12-10,72.9,43
2017-12-11,48.4,35
2017-12-12,50.9,36
2017-12-13,44.4,33
2017-12-14,47.4,37
2017-12-15,56.3,28
2017-12-16,48,29
2017-12-17,44.5,31
2017-12-18,78.5,52
2017-12-19,54.1,30
2017-12-20,73,44
2017-12-21,72,43
2017-12-22,73.8,61
2017-12-23,83.5,59
2017-12-24,87.3,61
2017-12-25,51.5,37
2017-12-26,45.6,20
2017-12-27,35.8,26
2017-12-28,48.9,25
